titulo;empresa;pais;ciudad_limpia;ubicacion_raw;salario_medio_ppp_2024;indice_coste_vida_2024;indice_alquiler_2024;salario_real_ajustado;modalidad;es_teletrabajo;desc_longitud;url
Operations Response Data Analyst;dLocal;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;109;https://es.indeed.com/viewjob?jk=e7563c89625a80f1
Revenue Operations (Sales Data Analyst);Viterbit;ES;España;Teletrabajo in España;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;206;https://es.indeed.com/viewjob?jk=09023ad780247189
Data Analyst Consultant;Prenomics SL;ES;Barcelona;Trabajo híbrido in 08001 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;161;https://es.indeed.com/viewjob?jk=625bcf1a10775afb
(Senior) Research Data Analyst;Kielo Research;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;94;https://es.indeed.com/viewjob?jk=6fb743396ccffa32
Data Analyst Team Lead;Nacre Capital;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;85;https://es.indeed.com/viewjob?jk=0401757b4ee20293
BPI Project Coordinator;ADP;ES;Barcelona;08005 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;70;https://es.indeed.com/viewjob?jk=b3098452368b2df1
Sin Título;;ES;Desconocido;;54564.408;48.7;18.2;112041.91;Presencial;False;0;https://es.indeed.com/viewjob?jk=0f1e2d3c4b5a6978
Bilingual Business Analyst;TechBiz Global GmbH;ES;Barcelona;Teletrabajo in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;129;https://es.indeed.com/viewjob?jk=ee071c6c0b5e83cd
Senior Product Data Analyst;Booksy;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;120;https://es.indeed.com/viewjob?jk=9fe23fa92888db64
Energy Data Analyst;E&C;ES;Valencia;Trabajo híbrido in Valencia, Valencia provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;146;https://es.indeed.com/viewjob?jk=4426d57986a1e08f
Data Analyst;Hector Kitchen;ES;Barcelona;08013 Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;101;https://es.indeed.com/viewjob?jk=adaffb64c12ea8d1
People Operations Specialist - Remote;Paymentology;ES;;Teletrabajo;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;99;https://es.indeed.com/viewjob?jk=b7e501ec77f2a4ac
Data Engineer, Analytics;Rover.com;ES;Barcelona;Trabajo híbrido in Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Remoto/Híbrido;True;154;https://es.indeed.com/viewjob?jk=3a577d8e5f1dc4bf
Property Data Analyst;JD España;ES;Alicante;Alicante, Alicante provincia;54564.408;48.7;18.2;112041.91;Presencial;False;80;https://es.indeed.com/viewjob?jk=eddb5374550868f7
Senior Data Analyst;Appodeal;ES;Barcelona;Barcelona, Barcelona provincia;54564.408;48.7;18.2;112041.91;Presencial;False;79;https://es.indeed.com/viewjob?jk=4496d6a782288478
