titulo,empresa,pais,ubicacion_raw,modalidad,desc_longitud,url
Operations Response Data Analyst,dLocal,ES,Teletrabajo,Presencial,109,https://es.indeed.com/viewjob?jk=e7563c89625a80f1
Revenue Operations (Sales Data Analyst),Viterbit,ES,Teletrabajo in España,Presencial,206,https://es.indeed.com/viewjob?jk=09023ad780247189
Data Analyst Consultant,Prenomics SL,ES,"Trabajo híbrido in 08001 Barcelona, Barcelona provincia",Híbrido,161,https://es.indeed.com/viewjob?jk=625bcf1a10775afb
(Senior) Research Data Analyst,Kielo Research,ES,Teletrabajo,Presencial,94,https://es.indeed.com/viewjob?jk=6fb743396ccffa32
Data Analyst Team Lead,Nacre Capital,ES,Teletrabajo,Presencial,85,https://es.indeed.com/viewjob?jk=0401757b4ee20293
BPI Project Coordinator,ADP,ES,"08005 Barcelona, Barcelona provincia",Presencial,70,https://es.indeed.com/viewjob?jk=b3098452368b2df1
,,ES,,Presencial,0,https://es.indeed.com/viewjob?jk=0f1e2d3c4b5a6978
Bilingual Business Analyst,TechBiz Global GmbH,ES,"Teletrabajo in Barcelona, Barcelona provincia",Presencial,129,https://es.indeed.com/viewjob?jk=ee071c6c0b5e83cd
Senior Product Data Analyst,Booksy,ES,Teletrabajo,Presencial,120,https://es.indeed.com/viewjob?jk=9fe23fa92888db64
Energy Data Analyst,E&C,ES,"Trabajo híbrido in Valencia, Valencia provincia",Híbrido,146,https://es.indeed.com/viewjob?jk=4426d57986a1e08f
Data Analyst,Hector Kitchen,ES,"08013 Barcelona, Barcelona provincia",Presencial,101,https://es.indeed.com/viewjob?jk=adaffb64c12ea8d1
People Operations Specialist - Remote,Paymentology,ES,Teletrabajo,Presencial,99,https://es.indeed.com/viewjob?jk=b7e501ec77f2a4ac
"Data Engineer, Analytics",Rover.com,ES,"Trabajo híbrido in Barcelona, Barcelona provincia",Híbrido,154,https://es.indeed.com/viewjob?jk=3a577d8e5f1dc4bf
Property Data Analyst,JD España,ES,"Alicante, Alicante provincia",Presencial,80,https://es.indeed.com/viewjob?jk=eddb5374550868f7
Senior Data Analyst,Appodeal,ES,"Barcelona, Barcelona provincia",Presencial,79,https://es.indeed.com/viewjob?jk=4496d6a782288478
Campaign Analyst,Smadex SLU,ES,"Barcelona, Barcelona provincia",Presencial,159,https://es.indeed.com/viewjob?jk=31fbd764e601daee
Operations Analyst,FeverUp,ES,"Madrid, Madrid provincia",Presencial,71,https://es.indeed.com/viewjob?jk=7c43b74a5af857e8
Senior Data Scientist,FeverUp,ES,"Trabajo híbrido in Madrid, Madrid provincia",Híbrido,93,https://es.indeed.com/viewjob?jk=63121b767cc8fce1
Fraud & AML Rules Analyst,Mangopay,ES,"Madrid, Madrid provincia",Presencial,79,https://es.indeed.com/viewjob?jk=b7d29184c6600c76
,,ES,,Presencial,0,https://es.indeed.com/viewjob?jk=fedcba9876543210
Senior Financial Analyst,Appodeal,ES,"Barcelona, Barcelona provincia",Presencial,84,https://es.indeed.com/viewjob?jk=9d094e4526e66a04
Mid BI Engineer,Factorial,ES,"08005 Barcelona, Barcelona provincia",Presencial,82,https://es.indeed.com/viewjob?jk=44a0235ca4926279
Digital CRO & Analytics Specialist,ROCKET DIGITAL,ES,"Trabajo híbrido in 08008 Barcelona, Barcelona provincia",Híbrido,125,https://es.indeed.com/viewjob?jk=492cef561f3e4273
Sales Quality Assurance Analyst,Factorial,ES,"08005 Barcelona, Barcelona provincia",Presencial,98,https://es.indeed.com/viewjob?jk=b4973f96341a03c3
Chief Data Science Officer,Appodeal,ES,"Barcelona, Barcelona provincia",Presencial,86,https://es.indeed.com/viewjob?jk=1add65b83ddd73a3
Senior FP&A Analyst,IPC Systems,ES,"Trabajo híbrido in Madrid, Madrid provincia",Híbrido,112,https://es.indeed.com/viewjob?jk=218039dfe97cafbd
Senior Procurement Analyst,FeverUp,ES,"Madrid, Madrid provincia",Presencial,96,https://es.indeed.com/viewjob?jk=381e6557c4d7aaac
Data Analyst - PowerBI Specialist,Centauro Rent a Car S.L.U.,ES,"Trabajo híbrido in 03509 Finestrat, Alicante provincia",Híbrido,174,https://es.indeed.com/viewjob?jk=e3fc0abfb55232d5
Data Analyst,Inetum Spain,ES,"Teletrabajo in Madrid, Madrid provincia",Presencial,174,https://es.indeed.com/viewjob?jk=3594ea1e78f58f5f
BI / Data Visualization Developer,Inetum Spain,ES,"Teletrabajo in Madrid, Madrid provincia",Presencial,195,https://es.indeed.com/viewjob?jk=71b92948f99507ca
Data Analyst (Codefinity),Genesis,ES,"Madrid, Madrid provincia",Presencial,95,https://es.indeed.com/viewjob?jk=c0a5db546f0c47f3
Compliance Analyst - KYB,Binance,ES,Teletrabajo,Presencial,81,https://es.indeed.com/viewjob?jk=50e105960c9f3b63
"Business Analyst Intern, GIII (Karl Lagerfeld y DKNY) - Madrid",All We Wear Group,ES,"Madrid, Madrid provincia",Presencial,147,https://es.indeed.com/viewjob?jk=88afe51355fec63d
Food Operations Data Integration Analyst,Stolt-Nielsen B.V.,ES,"Santiago de Compostela, A Coruña provincia",Presencial,139,https://es.indeed.com/viewjob?jk=b751b871c30bac74
